osmid,y,x,highway,street_count,junction
10782939,43.4704584,-80.5581321,traffic_signals,4,
10782965,43.4834183,-80.5653142,traffic_signals,4,
15062368,43.5325644,-80.5130366,,3,
15062378,43.5034404,-80.5285196,traffic_signals,4,
15062380,43.5050012,-80.5297991,,4,
15062384,43.5057535,-80.5357353,,4,
15062387,43.5121516,-80.5488013,traffic_signals,3,
15062389,43.5099087,-80.5500439,,3,
15062393,43.5099407,-80.5554094,,5,
15062400,43.5048852,-80.5554922,traffic_signals,4,
15062429,43.4975375,-80.6084734,,3,
15064662,43.4969716,-80.52141,,4,
15064665,43.4966048,-80.5201912,,3,
15064678,43.4927076,-80.5163512,,3,
15064679,43.4928347,-80.5161494,,3,
15434284,43.5146566,-80.525956,,3,
15434286,43.5147738,-80.5263222,,3,
15434319,43.5041998,-80.49633,traffic_signals,3,
15434342,43.4823511,-80.5250019,,3,
15434355,43.4761526,-80.5249689,traffic_signals,4,
15434359,43.4722623,-80.5241415,,3,
15434363,43.4616588,-80.5214012,traffic_signals,4,
15434372,43.4549919,-80.5051483,traffic_signals,4,
15434374,43.4522922,-80.4963608,traffic_signals,4,
21305998,43.4607549,-80.4754978,traffic_signals,4,
21456881,43.4585801,-80.4825635,traffic_signals,4,
21456887,43.4534103,-80.4978032,,3,
21456894,43.4528509,-80.4981682,traffic_signals,4,
30255438,43.4455387,-80.5056749,traffic_signals,4,
30255443,43.4431389,-80.511802,traffic_signals,4,
30255446,43.4421632,-80.5145357,traffic_signals,4,
30255449,43.4405204,-80.5178567,,4,
81679615,43.4676253,-80.566086,traffic_signals,4,
82831071,43.4468117,-80.5486111,,4,
84075612,43.4418574,-80.5841835,,4,
84075613,43.4525058,-80.5533855,traffic_signals,4,
89228924,43.4440175,-80.5451166,traffic_signals,4,
114158636,43.472044,-80.5362674,traffic_signals,4,
114197484,43.463354,-80.5397074,,3,
114197503,43.4575618,-80.5351762,,3,
114197516,43.4568561,-80.5313076,,4,
114197525,43.4562271,-80.5296861,,3,
114197533,43.4534416,-80.526771,,3,
114197545,43.450996,-80.5247677,,5,
250197359,43.4658814,-80.5237841,,4,
250197361,43.4701333,-80.5276763,,4,
250197364,43.4737415,-80.5316751,traffic_signals,4,
250197369,43.4693054,-80.5234922,,4,
250197371,43.4689019,-80.526608,,4,
250197374,43.468493,-80.5232831,,4,
250197376,43.4681114,-80.5258915,,4,
250197378,43.4676421,-80.5230479,traffic_signals,4,
250197382,43.4673161,-80.5251253,traffic_signals,5,
250197384,43.4698231,-80.5248315,,3,
250197386,43.4674915,-80.5242481,,4,
250197390,43.4683259,-80.5244465,,4,
250197393,43.4691487,-80.5246584,,4,
250197397,43.4699767,-80.5260869,,3,
250197400,43.4689913,-80.5258459,,4,
250197402,43.4681768,-80.5256058,,3,
250197404,43.4673535,-80.5274538,,1,
250197407,43.4686046,-80.5272634,,3,
250197412,43.4678015,-80.526536,,4,
250197415,43.4695953,-80.5281909,,3,
250197418,43.4660115,-80.5226266,,4,
250197421,43.466843,-80.5228427,,4,
250197440,43.4666763,-80.5240268,,3,
250197456,43.4705508,-80.5203575,,3,
250197463,43.4702877,-80.5225085,,4,
250197466,43.4661636,-80.5214197,,4,
250197467,43.469467,-80.5222833,,4,
250197468,43.4686484,-80.5220695,,4,
250197469,43.4670084,-80.5216341,,4,
250197470,43.4672969,-80.5194945,,3,
250197471,43.4689215,-80.5199264,,4,
250197472,43.4664569,-80.5192764,,3,
250197473,43.4658463,-80.5191008,,3,
250197476,43.4682785,-80.5166995,,4,
250197477,43.4669088,-80.5178692,,3,
250197479,43.4660469,-80.5168696,,3,
250197480,43.4678101,-80.5218404,traffic_signals,4,
250197481,43.4681166,-80.5197002,traffic_signals,4,
250197482,43.465578,-80.5245245,,3,
250197483,43.4653623,-80.5250034,,3,
250197485,43.4651699,-80.5257336,,3,
250197486,43.4717348,-80.5206436,,3,
250197487,43.4671777,-80.5253861,,4,
250633030,43.4670676,-80.5295991,,3,
250633034,43.4670347,-80.5304659,,3,
250931931,43.4707566,-80.5283742,,3,
250931942,43.4658464,-80.535299,,3,
250931943,43.4659574,-80.5349688,,3,
250931944,43.4625443,-80.539072,traffic_signals,4,
250931957,43.464122,-80.5272878,,3,
250931958,43.4636755,-80.5268911,traffic_signals,5,
250931959,43.464376,-80.5252064,,4,
250931960,43.4651878,-80.5223668,,4,
250931961,43.4651337,-80.5229046,,3,
250931965,43.465943,-80.523109,,3,
251576066,43.4592823,-80.5369433,traffic_signals,4,
251576067,43.4605972,-80.5339597,,4,
251576068,43.4614715,-80.5319244,,4,
